,date,stars,reviews,product,district_id,event_timestamp
0,2017-10-04,5,"Great job, Eagle National! Each person was professional and helped us move through our refinance process smoothly. Thank you!",Eagle National Mortgage,65,2022-05-01 21:41:53.179457
1,2017-10-02,5,"Matthew Richardson is professional and helpful. He helped us find the correct product for our mortgage. Thank you very much for the excellent service, Matthew!",Eagle National Mortgage,66,2022-05-09 23:14:11.179457
2,2017-08-21,5,"We had a past experience with Eagle National Mortgage and would without question use again and again if needed!! Eagle went beyond the extra mile to not only right a wrong encountered from the servicer we were dealing on our previous loan, but they pulled together and found a viable option for us that ultimately saved us money. We would highly recommend Brad Thomka and the Eagle National Mortgage team for your mortgage needs. Sincerest thanks Eagle!! Ed & Lind",Eagle National Mortgage,23,2022-05-08 01:27:58.179457
3,2017-12-17,5,"We have been dealing with Brad Thomka from the beginning of what started out to be a very stressful time for us, but with the help from Brad and the entire Eagle Mortgage team it was turned into a happy ending!! Brad and Eagle went beyond the extra mile to not only right a wrong encountered from the servicer we were dealing on our previous loan, but they pulled together and found a viable option for us that ultimately saved us money. We are indebted and would highly recommend Brad Thomka and the Eagle National Mortgage team for your mortgage needs. Sincerest thanks Eagle!! Ed & LindRead Less",Eagle National Mortgage,55,2022-05-09 17:00:29.179457
4,2016-05-27,5,"I can't express how grateful I am for the support that Zach provided to me and my family during this home purchase! His customer service, responsiveness and professional demeanor is second to none. He was very thorough and took the time to educate me about the process along the way. I highly recommend working with Zach and Eagle National!",Eagle National Mortgage,24,2022-05-07 09:01:19.179457
5,2016-12-20,5,"I had the pleasure of working with Eagle National in September 2018 as my family and I were making a home purchase in Columbus, OH. From the original conversation with the loan officer to underwriting and all the way through closing, the entire team from Eagle was very responsive and professional. I was VERY impressed with how smooth their process was and how timely the communication was given how stressful of a process home buying (and selling) can be",Eagle National Mortgage,15,2022-05-05 11:42:13.179457
6,2017-12-17,5,"My experience with Mattison was beyond greatly professionally done!! She really cares about her clients needs! She stays on top of everything and if there was a misunderstanding, she would be on top of it for you. Overall she truly bends her back professionally for her clients. She is a wonderful person!",Eagle National Mortgage,12,2022-05-04 15:44:36.179457
7,2016-08-16,5,Patrick answered all my questions by email immediately and he spent a lot of time making sure I got the right loan for my situation. The portal they use is extremely easy and we closed on the refinance with 2 weeks. Very pleased with the customer service and intend on using Patrick again when we refinance later!!!!,Eagle National Mortgage,55,2022-05-04 03:50:14.179457
8,2017-04-09,5,"I loved working with this group of people! They laughed with me over the phone! Always answered my questions and moved the loan along as quickly as possible! Knowledgeable staff! While we were shopping around for a lender, one lender badmouthed Eagle, they lost my business because of it. When I told Eagle about it, they had the class not to say anything negative about another company, just to get the ""sell""",Eagle National Mortgage,25,2022-05-07 12:36:22.179457
9,2016-03-22,5,Great web interface for both the loan application and document upload and download features. Quick responses to any questions or concerns. Willingness to communicate almost exclusively via email...as phone calls weren't always an option for us.,Eagle National Mortgage,18,2022-05-06 02:57:51.179457
